County,GPS Latitude,GPS Longitude
NAIROBI,-1.25778,36.81919
KIAMBU,-1.1787299999999998,36.93488
NAIROBI,-1.26217,36.82437
NAIROBI,-1.33259,36.92631
NAIROBI,-1.29536,36.80637
NAIROBI,-1.33303,36.92644
NAIROBI,-1.3325799999999999,36.92633
NAIROBI,-1.33249,36.9264
NAIROBI,-1.33253,36.92633
NAIROBI,-1.3326200000000001,36.92621
KIAMBU,-1.1788100000000001,36.93468
NAIROBI,-1.33264,36.92626
NAIROBI,-1.33239,36.926109999999994
NAIROBI,-1.3342,36.91707
NAIROBI,-1.25727,36.80366
MACHAKOS,-1.52132,37.26897
KIAMBU,-0.98103,36.62972
UASIN GISHU,0.5167,35.27625
KIAMBU,-1.14846,36.66616
NAIROBI,-1.2380200000000001,36.81068
NAIROBI,-1.32934,36.92413
NAIROBI,-1.32934,36.92413
NAIROBI,-1.33181,36.92454
MOMBASA,-4.01851,39.62423
MOMBASA,-4.0185900000000006,39.62423
MOMBASA,-4.01861,39.62433
KIAMBU,-1.25514,36.69406
KIAMBU,-0.94696,36.59469
MURANGA,-0.93848,37.12573
